x_value,DirectSum,KahanSum
5.00,1.036927752692955,1.036927752692953
5.05,1.035528277619814,1.035528277619813
5.10,1.034185473179850,1.034185473179849
5.15,1.032896806982019,1.032896806982018
5.20,1.031659875749775,1.031659875749775
5.25,1.030472397642636,1.030472397642636
5.30,1.029332205111508,1.029332205111508
5.35,1.028237238245030,1.028237238245031
5.40,1.027185538568003,1.027185538568004
5.45,1.026175243256507,1.026175243256506
5.50,1.025204579737418,1.025204579737418
5.55,1.024271860642908,1.024271860642907
5.60,1.023375479092991,1.023375479092991
5.65,1.022513904281575,1.022513904281573
5.70,1.021685677343488,1.021685677343488
5.75,1.020889407481910,1.020889407481909
5.80,1.020123768337257,1.020123768337257
5.85,1.019387494580252,1.019387494580253
5.90,1.018679378713181,1.018679378713180
5.95,1.017998268064732,1.017998268064732
6.00,1.017343061964944,1.017343061964944
6.05,1.016712709087811,1.016712709087812
6.10,1.016106204950150,1.016106204950151
6.15,1.015522589556133,1.015522589556132
6.20,1.014960945177763,1.014960945177764
6.25,1.014420394262290,1.014420394262290
6.30,1.013900097458192,1.013900097458193
6.35,1.013399251752080,1.013399251752081
6.40,1.012917088709328,1.012917088709328
6.45,1.012452872811828,1.012452872811828
6.50,1.012005899886756,1.012005899886756
6.55,1.011575495620595,1.011575495620596
6.60,1.011161014153177,1.011161014153175
6.65,1.010761836746772,1.010761836746771
6.70,1.010377370525703,1.010377370525702
6.75,1.010007047282158,1.010007047282158
6.80,1.009650322344291,1.009650322344291
6.85,1.009306673502876,1.009306673502876
6.90,1.008975599993074,1.008975599993073
6.95,1.008656621528097,1.008656621528097
7.00,1.008349277381761,1.008349277381761
7.05,1.008053125517114,1.008053125517115
7.10,1.007767741758521,1.007767741758520
7.15,1.007492719004728,1.007492719004728
7.20,1.007227666480654,1.007227666480655
7.25,1.006972209025697,1.006972209025698
7.30,1.006725986416575,1.006725986416575
7.35,1.006488652722802,1.006488652722803
7.40,1.006259875693027,1.006259875693027
7.45,1.006039336170554,1.006039336170555
7.50,1.005826727536508,1.005826727536508
7.55,1.005621755179144,1.005621755179144
7.60,1.005424135987954,1.005424135987954
7.65,1.005233597871241,1.005233597871241
7.70,1.005049879295959,1.005049879295959
7.75,1.004872728848661,1.004872728848660
7.80,1.004701904816466,1.004701904816466
7.85,1.004537174787049,1.004537174787049
7.90,1.004378315266650,1.004378315266651
7.95,1.004225111315239,1.004225111315238
8.00,1.004077356197943,1.004077356197943
8.05,1.003934851051965,1.003934851051965
8.10,1.003797404568195,1.003797404568195
8.15,1.003664832686811,1.003664832686811
8.20,1.003536958306201,1.003536958306201
8.25,1.003413611004526,1.003413611004527
8.30,1.003294626773360,1.003294626773360
8.35,1.003179847762786,1.003179847762787
8.40,1.003069122037444,1.003069122037445
8.45,1.002962303342977,1.002962303342977
8.50,1.002859250882414,1.002859250882415
8.55,1.002759829102020,1.002759829102021
8.60,1.002663907486150,1.002663907486150
8.65,1.002571360360730,1.002571360360730
8.70,1.002482066704939,1.002482066704940
8.75,1.002395909970728,1.002395909970730
8.80,1.002312777909821,1.002312777909822
8.85,1.002232562407851,1.002232562407851
8.90,1.002155159325325,1.002155159325326
8.95,1.002080468345099,1.002080468345100
9.00,1.002008392826082,1.002008392826082
9.05,1.001938839662875,1.001938839662877
9.10,1.001871719151127,1.001871719151127
9.15,1.001806944858285,1.001806944858286
9.20,1.001744433499590,1.001744433499590
9.25,1.001684104819005,1.001684104819006
9.30,1.001625881474937,1.001625881474937
9.35,1.001569688930483,1.001569688930483
9.40,1.001515455348051,1.001515455348051
9.45,1.001463111488151,1.001463111488152
9.50,1.001412590612173,1.001412590612174
9.55,1.001363828388997,1.001363828388998
9.60,1.001316762805264,1.001316762805265
9.65,1.001271334079158,1.001271334079158
9.70,1.001227484577548,1.001227484577549
9.75,1.001185158736360,1.001185158736360
9.80,1.001144302984029,1.001144302984029
9.85,1.001104865667918,1.001104865667919
9.90,1.001066796983578,1.001066796983578
9.95,1.001030048906721,1.001030048906721
10.00,1.000994575127818,1.000994575127818
