,x_i,n,sum_1,sum_2
0,0.0,1,0.000000000000000,0.000000000000000
1,0.25,4,0.249133570318590,0.249133570318590
2,0.5,5,0.493107418044177,0.493107418044177
3,0.75,6,0.726954247149794,0.726954247149794
4,1.0,6,0.946083070354881,0.946083070354881
5,1.25,7,1.146446415674676,1.146446415674676
6,1.5,7,1.324683531194282,1.324683531194282
7,1.75,8,1.478233418853623,1.478233418853623
8,2.0,8,1.605412976781243,1.605412976781243
9,2.25,8,1.705457197379986,1.705457197379986
10,2.5,9,1.778520173459357,1.778520173459357
11,2.75,9,1.825637507694502,1.825637507694502
12,3.0,10,1.848652527989875,1.848652527989875
13,3.25,10,1.850110365345264,1.850110365345264
14,3.5,10,1.833125398423146,1.833125398423146
15,3.75,11,1.801228726792134,1.801228726792134
16,4.0,11,1.758203139064557,1.758203139064558
17,4.25,12,1.707913488565522,1.707913488565521
18,4.5,12,1.654140414325511,1.654140414325511
19,4.75,12,1.600425000044445,1.600425000044445
20,5.0,13,1.549931244969307,1.549931244969311
21,5.25,13,1.505332168651949,1.505332168651948
22,5.5,13,1.468724072986153,1.468724072986154
23,5.75,14,1.441571966217698,1.441571966217694
24,6.0,14,1.424687551141851,1.424687551141851
25,6.25,15,1.418239513726986,1.418239513726986
26,6.5,15,1.421794274495841,1.421794274495841
27,6.75,15,1.434383898752871,1.434383898752877
28,7.0,16,1.454596614222126,1.454596614222126
29,7.25,16,1.480684412376419,1.480684412376426
30,7.5,16,1.510681530691733,1.510681530691741
31,7.75,17,1.542527296993859,1.542527296993867
32,8.0,17,1.574186821814208,1.574186821814195
33,8.25,17,1.603763395931388,1.603763395931381
34,8.5,18,1.629597099544482,1.629597099544497
35,8.75,18,1.650345079660376,1.650345079660369
36,9.0,18,1.665040075451192,1.665040075451245
37,9.25,19,1.673125077645335,1.673125077645295
38,9.5,19,1.674463342442974,1.674463342442976
39,9.75,19,1.669324355747684,1.669324355747619
40,10.0,20,1.658347594149627,1.658347594149745
41,10.25,20,1.642487087436779,1.642487087436734
42,10.5,20,1.622940692298852,1.622940692298982
43,10.75,21,1.601068703104648,1.601068703104602
44,11.0,21,1.578306807164695,1.578306807164495
45,11.25,21,1.556078545046815,1.556078545046716
46,11.5,22,1.535712236887534,1.535712236887775
47,11.75,22,1.518366933476658,1.518366933476045
48,12.0,22,1.504971240888106,1.504971240888608
49,12.25,23,1.496178037030729,1.496178037031086
50,12.5,23,1.492337052563586,1.492337052563016
51,12.75,24,1.493486240772760,1.493486240772654
52,13.0,24,1.499361722742341,1.499361722742833
53,13.25,24,1.509425059744311,1.509425059744899
54,13.5,25,1.522905652863907,1.522905652865120
55,13.75,25,1.538855261386811,1.538855261386743
56,14.0,25,1.556211050413742,1.556211050416096
57,14.25,26,1.573863183571969,1.573863183572030
58,14.5,26,1.590722861923105,1.590722861925315
59,14.75,26,1.605786794812708,1.605786794807500
60,15.0,27,1.618194443779825,1.618194443777611
61,15.25,27,1.627274893975772,1.627274893984577
62,15.5,27,1.632580931815263,1.632580931822304
63,15.75,28,1.633908706326433,1.633908706331567
64,16.0,28,1.631302268086424,1.631302268106083
65,16.25,28,1.625043164738729,1.625043164734961
66,16.5,29,1.615626169769289,1.615626169776078
67,16.75,29,1.603722982044788,1.603722982079489
68,17.0,29,1.590136416355036,1.590136416343739
69,17.25,30,1.575748068468100,1.575748068542453
70,17.5,30,1.561462770149271,1.561462770041544
71,17.75,30,1.548153218793864,1.548153218871448
72,18.0,31,1.536608096957980,1.536608097027056
73,18.25,31,1.527486668368586,1.527486668375786
74,18.5,31,1.521282407130910,1.521282407338731
75,18.75,32,1.518297580411136,1.518297580303624
76,19.0,32,1.518630031611271,1.518630031496286
77,19.25,32,1.522172629911862,1.522172629833221
78,19.5,33,1.528625104181984,1.528625103877857
79,19.75,33,1.537517230535738,1.537517230957747
80,20.0,33,1.548241701014307,1.548241701442748
81,20.25,34,1.560094461531490,1.560094460844994
82,20.5,34,1.572319899480539,1.572319900617003
83,20.75,34,1.584158055086511,1.584158055484295
84,21.0,35,1.594890968664086,1.594890967942774
85,21.25,35,1.603885354792289,1.603885354474187
86,21.5,35,1.610629189172381,1.610629193484783
87,21.75,36,1.614760039090265,1.614760039374232
88,22.0,36,1.616083733595422,1.616083739325404
89,22.25,36,1.614582345162972,1.614582344889641
90,22.5,37,1.610411296607670,1.610411301255226
91,22.75,37,1.603886090026299,1.603886093944311
92,23.0,37,1.595459442349265,1.595459461212158
93,23.25,38,1.585690726433667,1.585690744221210
94,23.5,38,1.575209564705020,1.575209558010101
95,23.75,38,1.564675842548955,1.564675867557526
96,24.0,39,1.554738675159134,1.554738640785217
97,24.25,39,1.545997217836000,1.545997232198715
98,24.5,39,1.538964879791606,1.538964897394180
99,24.75,40,1.534039724267354,1.534039795398712
100,25.0,40,1.531482507900320,1.531482458114624
