x_value,DirectSum,KahanSum
10.0,2492.2289762418777,2492.2289762418777
10.1,2722.7136223567404,2722.71362235674
10.2,2974.9291103181686,2974.929110318169
10.3,3250.9510838509977,3250.9510838509977
10.4,3553.0553758632195,3553.05537586322
10.5,3883.737465326969,3883.737465326969
10.6,4245.733837203042,4245.733837203042
10.7,4642.045432532078,4642.045432532078
10.8,5075.963394298468,5075.963394298468
10.9,5551.097334988879,5551.097334988879
11.0,6071.406374098609,6071.40637409861
11.1,6641.23321838544,6641.233218385439
11.2,7265.341584654336,7265.341584654337
11.3,7948.957294518466,7948.9572945184655
11.4,8697.813403189957,8697.813403189957
11.5,9518.199760202042,9518.199760202042
11.6,10417.017439373236,10417.017439373236
11.7,11401.838518652261,11401.838518652261
11.8,12480.971738117278,12480.971738117278
11.9,13663.534616776056,13663.534616776056
12.0,14959.53266639753,14959.53266639753
12.1,16379.946403918353,16379.946403918353
12.2,17936.826933584867,17936.826933584867
12.3,19643.400946538335,19643.40094653833
12.4,21514.18606972273,21514.186069722735
12.5,23565.117588552333,23565.11758855233
12.6,25813.68766955508,25813.687669555085
12.7,28279.098321134334,28279.098321134334
12.8,30982.429453675268,30982.429453675268
12.9,33946.8235355814,33946.8235355814
13.0,37197.688490689034,37197.68849068904
13.1,40762.920646221,40762.920646221
13.2,44673.14972049648,44673.14972049648
13.3,48962.008037641615,48962.00803764161
13.4,53666.4263743474,53666.4263743474
13.5,58826.95908327885,58826.959083278845
13.6,64488.1414012246,64488.14140122461
13.7,70698.88213989556,70698.88213989556
13.8,77512.89527606318,77512.89527606318
13.9,84989.1743083827,84989.1743083827
14.0,93192.51363396538,93192.51363396538
14.100000000000001,102194.08162205748,102194.08162205748
14.2,112072.05052893206,112072.05052893206
14.3,122912.2889115513,122912.28891155128
14.4,134809.12276238657,134809.12276238657
14.5,147866.17220918823,147866.17220918823
14.600000000000001,162197.27130708587,162197.27130708587
14.7,177927.47920248433,177927.47920248433
14.8,195194.1917756396,195194.19177563963
14.9,214148.36377909844,214148.3637790984
15.0,234955.85249076824,234955.85249076827
15.100000000000001,257798.8950023022,257798.89500230216
15.2,282877.7324759334,282877.7324759334
15.3,310412.3960369187,310412.39603691874
15.4,340644.6704365457,340644.6704365457
15.5,373840.2532357939,373840.2532357939
15.600000000000001,410291.12903684215,410291.12903684215
15.7,450318.18024515983,450318.18024515983
15.8,494274.0579967483,494274.0579967483
15.9,542546.3392529311,542546.339252931
16.0,595560.9986708368,595560.9986708368
16.1,653786.22672504,653786.2267250401
16.2,717736.6287113435,717736.6287113435
16.3,787977.8427362355,787977.8427362355
16.4,865131.6186170378,865131.6186170378
16.5,949881.4038235638,949881.403823564
16.6,1042978.4872205136,1042978.4872205138
16.7,1145248.756463938,1145248.7564639377
16.8,1257600.1305113712,1257600.1305113712
16.9,1381030.7348755016,1381030.7348755016
17.0,1516637.8940425166,1516637.8940425166
17.1,1665628.022950612,1665628.0229506118
17.2,1829327.5076512103,1829327.5076512103
17.3,2009194.674330398,2009194.674330398
17.4,2206832.955834805,2206832.9558348046
17.5,2424005.3758168938,2424005.375816894
17.6,2662650.4826896926,2662650.482689693
17.7,2924899.878873335,2924899.878873335
17.8,3213097.505446694,3213097.5054466943
17.9,3529820.8584229853,3529820.8584229853
18.0,3877904.330597445,3877904.330597445
18.1,4260464.892430777,4260464.892430777
18.200000000000003,4680930.346916449,4680930.346916449
18.3,5143070.417029688,5143070.417029688
18.4,5651030.950391933,5651030.950391932
18.5,6209371.554446051,6209371.554446051
18.6,6823107.006991338,6823107.006991338
18.700000000000003,7497752.821664909,7497752.821664909
18.8,8239375.386198914,8239375.386198914
18.9,9054647.133387018,9054647.13338702
19.0,9950907.251046844,9950907.251046844
19.1,10936228.48829979,10936228.488299793
19.200000000000003,12019490.671677534,12019490.671677535
19.3,13210461.60642694,13210461.606426941
19.4,14519886.106497789,14519886.106497789
19.5,15959583.97169026,15959583.97169026
19.6,17542557.81301088,17542557.81301088
19.700000000000003,19283111.71820153,19283111.71820153
19.8,21196981.849510472,21196981.84951047
19.9,23301480.176000483,23301480.176000483
20.0,25615652.66405659,25615652.66405659
